county,n_crimes_2015,anti_refugee_violence_2015,anti_refugee_violence_crimeratio,anti_refugee_violence_popratio
09476,2533,0,0,0
09477,2685,0,0,0
09478,2940,0,0,0
09479,4365,1,0.229095074455899,0.136612021857923
09561,3130,0,0,0
09562,6420,1,0.155763239875389,0.0923361034164358
09563,6035,1,0.165700082850041,0.0805152979066023
09564,48359,5,0.103393370417089,0.0980392156862745
09565,1889,0,0,0
09571,5713,0,0,0
09572,3681,1,0.271665308340125,0.0745712155108128
09573,2892,0,0,0
09574,6083,1,0.164392569455861,0.0596658711217184
09575,2868,1,0.348675034867504,0.101214574898785
09576,3918,0,0,0
09577,3468,0,0,0
09661,5972,0,0,0
09662,12851,1,0.0778149560345498,0.192307692307692
09663,12126,0,0,0
09671,4813,1,0.207770621234158,0.0575705238917674
09672,3471,0,0,0
09673,2642,1,0.378501135503407,0.125470514429109
09674,2766,0,0,0
09675,3499,2,0.571591883395256,0.223964165733483
09676,4031,0,0,0
09677,3873,0,0,0
09678,2744,0,0,0
09679,3781,1,0.264480296217932,0.0623441396508728
09761,25659,0,0,0
09762,2565,0,0,0
09763,4313,1,0.231857175979597,0.149476831091181
09764,3090,0,0,0
09771,3813,0,0,0
09772,8054,2,0.248323814253787,0.0814332247557003
09773,3770,2,0.530503978779841,0.211416490486258
09774,5479,1,0.182515057492243,0.0811688311688312
09775,8551,0,0,0
09776,4143,0,0,0
09777,4535,5,1.10253583241455,0.363108206245461
09778,3962,2,0.504795557799091,0.142450142450142
09779,4968,1,0.201288244766506,0.0761614623000762
09780,4827,1,0.207168013258753,0.0654878847413229
10041,33230,1,0.0300932891965092,0.030543677458766
10042,5654,2,0.353731871241599,0.192307692307692
10043,7428,0,0,0
10044,18105,2,0.110466721900028,0.101522842639594
10045,7656,1,0.130616509926855,0.0691562932226833
10046,3292,0,0,0
11000,569550,132,0.231761917303134,0.375
12051,8763,2,0.228232340522652,0.279329608938548
12052,10741,13,1.21031561307141,1.30391173520562
12053,6080,8,1.31578947368421,1.37693631669535
12054,17425,3,0.172166427546628,0.178890876565295
12060,12119,4,0.330060235993069,0.225479143179256
12061,13692,5,0.365176745544844,0.303951367781155
12062,6305,0,0,0
12063,10866,11,1.01233204491073,0.695322376738306
12064,12382,10,0.807623970279438,0.524383848977451
12065,13023,5,0.383936113030792,0.240963855421687
12066,9566,2,0.209073803052478,0.177777777777778
12067,12899,5,0.387626947825413,0.274122807017544
12068,7462,4,0.536049316537121,0.403632694248234
12069,12851,1,0.0778149560345498,0.0474158368895211
12070,5035,5,0.99304865938431,0.644329896907217
12071,8097,14,1.72903544522663,1.19047619047619
12072,11495,8,0.695954762940409,0.488997555012225
12073,9002,15,1.66629637858254,1.2396694214876
13003,20022,4,0.199780241734093,0.194174757281553
13004,9650,7,0.725388601036269,0.723140495867769
13071,16734,7,0.418310027488945,0.266666666666667
13072,11403,18,1.5785319652723,0.843091334894614
13073,15032,14,0.931346460883449,0.622775800711744
13074,9966,16,1.60545855910094,1.02367242482406
13075,16403,22,1.34121806986527,0.922818791946309
13076,17382,5,0.287653894833736,0.233535730966838
14511,27791,15,0.539743082292829,0.603378921962993
14521,12811,46,3.59066427289048,1.32297958009779
14522,14704,32,2.17627856365615,1.024
14523,13609,12,0.881769417297377,0.516573396470082
14524,17957,17,0.946706019936515,0.523882896764253
14612,56555,72,1.27309698523561,1.32401618242001
14625,16016,15,0.936563436563437,0.48971596474045
14626,22963,7,0.304838218002874,0.269230769230769
14627,12920,16,1.23839009287926,0.65252854812398
14628,17777,72,4.05017719525229,2.91026677445432
14713,73614,13,0.176596842991822,0.231935771632471
14729,15847,22,1.38827538335332,0.851393188854489
14730,12212,14,1.14641336390436,0.708502024291498
15001,10036,1,0.0996412913511359,0.120627261761158
15002,32885,8,0.24327200851452,0.337552742616034
