county,year,hh_income_vgrdl
4012,2001,15156
4012,2002,13951
4012,2003,14170
4012,2004,13973
4012,2005,14719
4012,2006,14484
4012,2007,14876
4012,2008,15849
4012,2009,15992
4012,2010,15870
4012,2011,16041
4012,2012,17414
4012,2013,17026
4012,2014,16834
4012,2015,16829
4012,2016,16874
4012,2017,17545
4012,2018,18142
4012,2019,18640
4012,2020,19068
5111,2001,19911
5111,2002,19864
5111,2003,20347
5111,2004,20818
5111,2005,21136
5111,2006,21457
5111,2007,21513
5111,2008,22181
5111,2009,21362
5111,2010,22004
5111,2011,22582
5111,2012,22846
5111,2013,23407
5111,2014,23267
5111,2015,23937
5111,2016,24563
5111,2017,25724
5111,2018,26092
5111,2019,26736
5111,2020,27143
5112,2001,13694
5112,2002,13832
5112,2003,14083
5112,2004,14298
5112,2005,14227
5112,2006,14235
5112,2007,14296
5112,2008,14754
5112,2009,14666
5112,2010,15038
5112,2011,15419
5112,2012,15646
5112,2013,15717
5112,2014,15981
5112,2015,16162
5112,2016,16263
5112,2017,16610
5112,2018,17334
5112,2019,17797
5112,2020,18433
5113,2001,16678
5113,2002,16769
5113,2003,17030
5113,2004,17170
5113,2005,17271
5113,2006,17454
5113,2007,17546
5113,2008,18120
5113,2009,17694
5113,2010,18178
5113,2011,18692
5113,2012,18517
5113,2013,18749
5113,2014,18964
5113,2015,18939
5113,2016,19403
5113,2017,19854
5113,2018,20634
5113,2019,21061
5113,2020,21641
5114,2001,16420
5114,2002,16491
5114,2003,16948
5114,2004,17333
5114,2005,17449
5114,2006,17633
5114,2007,17718
5114,2008,18488
5114,2009,18097
5114,2010,18655
5114,2011,19228
5114,2012,19382
5114,2013,19363
5114,2014,19749
5114,2015,20058
5114,2016,20360
5114,2017,20970
5114,2018,21639
5114,2019,21983
5114,2020,22487
5116,2001,16689
5116,2002,16583
5116,2003,16975
5116,2004,17280
5116,2005,17314
5116,2006,17465
5116,2007,17468
5116,2008,18155
5116,2009,17750
5116,2010,18296
5116,2011,18882
5116,2012,18858
5116,2013,18832
5116,2014,19242
5116,2015,19238
5116,2016,19674
5116,2017,20290
5116,2018,20925
5116,2019,21422
5116,2020,21940
5117,2001,18566
5117,2002,18311
5117,2003,18751
5117,2004,19128
5117,2005,19738
5117,2006,20226
5117,2007,20508
5117,2008,20805
5117,2009,19948
5117,2010,20086
5117,2011,20887
5117,2012,21112
5117,2013,21259
5117,2014,21637
5117,2015,21598
5117,2016,21773
5117,2017,22296
5117,2018,23082
5117,2019,23762
5117,2020,24265
5119,2001,14639
5119,2002,14629
5119,2003,14800
5119,2004,15001
5119,2005,14946
5119,2006,14911
5119,2007,14980
5119,2008,15465
5119,2009,15458
5119,2010,15998
5119,2011,16450
5119,2012,16496
5119,2013,16686
5119,2014,17000
5119,2015,17276
5119,2016,17612
5119,2017,18022
5119,2018,18837
5119,2019,19304
5119,2020,19912
5120,2001,17808
5120,2002,17763
5120,2003,18257
5120,2004,18522
5120,2005,18819
5120,2006,19252
5120,2007,19565
