county,year,Arbeitslosenquote_inkar
3153,2020,6.94
3153,1995,
3153,1996,
3153,1997,
3154,1998,13.82
3154,1999,12.75
3154,2000,11.88
3154,2001,11.6
3154,2002,11.3
3154,2003,11.02
3154,2004,10.61
3154,2005,12.53
3154,2006,12.37
3154,2007,11.12
3154,2008,9.14
3154,2009,9.12
3154,2010,8.76
3154,2011,8
3154,2012,7.44
3154,2013,7.5
3154,2014,7.18
3154,2015,7.01
3154,2016,6.79
3154,2017,6.89
3154,2018,6.24
3154,2019,5.79
3154,2020,6.22
3154,1995,
3154,1996,
3154,1997,
3155,1998,11.93
3155,1999,11.59
3155,2000,10.64
3155,2001,10.65
3155,2002,10.87
3155,2003,10.94
3155,2004,10.78
3155,2005,12.03
3155,2006,10.82
3155,2007,9.16
3155,2008,8.15
3155,2009,8.55
3155,2010,7.67
3155,2011,7.31
3155,2012,7.07
3155,2013,7.3
3155,2014,6.87
3155,2015,6.68
3155,2016,6.17
3155,2017,5.8
3155,2018,5.41
3155,2019,5.11
3155,2020,5.64
3155,1995,
3155,1996,
3155,1997,
3157,1998,10.77
3157,1999,10.03
3157,2000,9.17
3157,2001,9.38
3157,2002,9.16
3157,2003,9.14
3157,2004,9.12
3157,2005,11.04
3157,2006,10.6
3157,2007,9.33
3157,2008,7.96
3157,2009,7.59
3157,2010,7.19
3157,2011,6.46
3157,2012,6.03
3157,2013,6
3157,2014,6.06
3157,2015,5.42
3157,2016,5.56
3157,2017,5.29
3157,2018,4.8
3157,2019,4.44
3157,2020,5.21
3157,1995,
3157,1996,
3157,1997,
3158,1998,10.47
3158,1999,10.05
3158,2000,10.11
3158,2001,9.71
3158,2002,9.31
3158,2003,9.34
3158,2004,9.39
3158,2005,10.49
3158,2006,9.94
3158,2007,7.99
3158,2008,6.84
3158,2009,6.96
3158,2010,7.22
3158,2011,6.73
3158,2012,6.31
3158,2013,6.2
3158,2014,6
3158,2015,5.65
3158,2016,5.54
3158,2017,5.49
3158,2018,4.9
3158,2019,4.41
3158,2020,4.89
3158,1995,
3158,1996,
3158,1997,
3159,1998,13.62
3159,1999,13.05
3159,2000,11.91
3159,2001,11.43
3159,2002,11.51
3159,2003,11.5
3159,2004,11.48
3159,2005,13.37
3159,2006,12.79
3159,2007,11.5
3159,2008,9.75
3159,2009,9.06
3159,2010,8.57
3159,2011,7.66
3159,2012,6.69
3159,2013,7.03
3159,2014,6.61
3159,2015,6.15
3159,2016,6.04
3159,2017,5.92
3159,2018,5.71
3159,2019,5.34
3159,2020,6.12
3159,1995,
3159,1996,
3159,1997,
3241,1998,11.43
3241,1999,10.79
3241,2000,9.68
3241,2001,9.69
3241,2002,10.16
3241,2003,10.67
3241,2004,10.34
3241,2005,14.1
3241,2006,12.07
3241,2007,10.04
3241,2008,9.14
3241,2009,9.26
3241,2010,9.07
3241,2011,8.62
3241,2012,8.18
3241,2013,8.2
3241,2014,8.25
3241,2015,7.83
3241,2016,7.49
3241,2017,7.09
3241,2018,6.62
3241,2019,6.41
3241,2020,7.49
3241,1995,
3241,1996,
3241,1997,
3251,1998,7.94
3251,1999,7.33
3251,2000,6.3
3251,2001,6.22
3251,2002,6.52
3251,2003,6.91
3251,2004,7.09
3251,2005,8.43
3251,2006,7.33
3251,2007,6.35
3251,2008,5.26
3251,2009,5.27
3251,2010,4.99
3251,2011,4.51
3251,2012,4.47
3251,2013,4.6
3251,2014,4.58
3251,2015,4.4
3251,2016,4.34
3251,2017,4.2
3251,2018,3.94
3251,2019,3.87
3251,2020,4.57
3251,1995,
3251,1996,
3251,1997,
3252,1998,12.92
3252,1999,12.49
3252,2000,11.34
3252,2001,11.22
3252,2002,11.65
3252,2003,12.22
3252,2004,12.09
3252,2005,14.29
3252,2006,12.36
3252,2007,10.95
3252,2008,9.38
3252,2009,9.14
3252,2010,8.95
3252,2011,8.21
3252,2012,8.04
3252,2013,8.2
3252,2014,7.89
3252,2015,7.33
3252,2016,7.13
3252,2017,6.76
3252,2018,6.23
3252,2019,6.08
3252,2020,6.74
3252,1995,
3252,1996,
3252,1997,
3254,1998,10.64
3254,1999,10.07
3254,2000,8.81
3254,2001,8.83
3254,2002,8.72
3254,2003,8.96
3254,2004,8.81
3254,2005,11.65
3254,2006,11.16
3254,2007,8.96
3254,2008,8.1
3254,2009,8.52
3254,2010,8.73
3254,2011,8.13
3254,2012,7.62
3254,2013,7.6
3254,2014,7.43
3254,2015,7.01
3254,2016,6.62
3254,2017,6.45
3254,2018,6.04
3254,2019,5.74
3254,2020,6.46
3254,1995,
3254,1996,
3254,1997,
3255,1998,11.52
3255,1999,11.08
3255,2000,9.67
3255,2001,9.86
3255,2002,10.7
3255,2003,11.18
3255,2004,11.64
3255,2005,14.58
3255,2006,12.52
3255,2007,10.57
3255,2008,8.86
3255,2009,9.04
3255,2010,9.19
3255,2011,8.2
3255,2012,8.14
3255,2013,8.3
3255,2014,7.74
3255,2015,7.43
3255,2016,7.19
3255,2017,6.73
3255,2018,6.5
3255,2019,6.3
3255,2020,6.6
3255,1995,
3255,1996,
3255,1997,
3256,1998,9.34
3256,1999,8.26
3256,2000,7.32
3256,2001,7.37
3256,2002,7.79
3256,2003,8.69
3256,2004,8.81
3256,2005,11
3256,2006,9.77
3256,2007,8.29
3256,2008,7.31
3256,2009,7.52
3256,2010,6.52
3256,2011,6.09
3256,2012,5.92
3256,2013,6.2
3256,2014,6.08
3256,2015,5.68
3256,2016,5.52
3256,2017,5.31
3256,2018,4.84
3256,2019,4.78
3256,2020,5.36
3256,1995,
3256,1996,
3256,1997,
3257,1998,10.1
3257,1999,9.53
3257,2000,8.44
3257,2001,8.34
3257,2002,8.95
3257,2003,9.84
3257,2004,10.31
3257,2005,12.22
3257,2006,11.34
3257,2007,9.53
3257,2008,8.54
3257,2009,8.62
3257,2010,8.47
3257,2011,7.82
3257,2012,7.47
3257,2013,6.9
3257,2014,7.11
3257,2015,6.58
3257,2016,6.3
3257,2017,6
3257,2018,6.07
3257,2019,5.29
3257,2020,5.72
3257,1995,
3257,1996,
3257,1997,
3351,1998,11.96
3351,1999,11.17
3351,2000,10.3
3351,2001,10.03
3351,2002,9.6
3351,2003,9.66
3351,2004,9.84
3351,2005,12.16
3351,2006,10.88
3351,2007,9.53
3351,2008,8.39
3351,2009,8.41
3351,2010,8.51
3351,2011,8.26
3351,2012,7.67
3351,2013,7.5
3351,2014,7.48
3351,2015,7.33
3351,2016,7.16
3351,2017,7.07
3351,2018,6.16
3351,2019,5.72
3351,2020,6.37
3351,1995,
3351,1996,
3351,1997,
3352,1998,10.37
3352,1999,9.66
3352,2000,8.93
3352,2001,8.91
3352,2002,8.99
3352,2003,9.33
3352,2004,9.78
3352,2005,12.15
3352,2006,10.77
3352,2007,9.14
3352,2008,7.85
3352,2009,7.04
3352,2010,6.71
3352,2011,6.28
3352,2012,6.12
3352,2013,6.2
3352,2014,6.05
3352,2015,6.05
3352,2016,5.79
3352,2017,5.46
3352,2018,5.23
3352,2019,5.18
3352,2020,5.87
3352,1995,
3352,1996,
3352,1997,
3353,1998,7.73
3353,1999,7.58
3353,2000,6.86
3353,2001,6.65
3353,2002,7.03
3353,2003,7.54
3353,2004,7.06
3353,2005,7.9
3353,2006,7.22
3353,2007,5.98
3353,2008,4.89
3353,2009,5.24
3353,2010,5.36
3353,2011,5.03
3353,2012,4.87
3353,2013,4.8
3353,2014,4.69
3353,2015,4.36
3353,2016,4.25
3353,2017,4.08
3353,2018,3.86
3353,2019,3.71
3353,2020,4.38
3353,1995,
3353,1996,
3353,1997,
3354,1998,15.93
3354,1999,16.01
3354,2000,15.62
3354,2001,14.83
3354,2002,14.81
3354,2003,14.76
3354,2004,14.22
3354,2005,16.29
3354,2006,14.01
3354,2007,12.76
3354,2008,12.02
3354,2009,11.61
3354,2010,11.16
3354,2011,10.41
3354,2012,10.71
3354,2013,10.7
3354,2014,9.87
3354,2015,8.54
3354,2016,8.02
3354,2017,8.14
3354,2018,7.45
3354,2019,7.34
3354,2020,7.89
3354,1995,
3354,1996,
3354,1997,
3355,1998,10.36
3355,1999,10.2
3355,2000,9.77
3355,2001,9.72
3355,2002,10.28
3355,2003,11.13
3355,2004,10.33
3355,2005,11.28
3355,2006,10.42
3355,2007,8.58
3355,2008,7.55
3355,2009,7.49
3355,2010,7.2
3355,2011,6.42
3355,2012,6.52
3355,2013,6.6
3355,2014,6.33
3355,2015,6.04
3355,2016,5.83
3355,2017,5.56
3355,2018,5.37
3355,2019,5.28
3355,2020,6.03
3355,1995,
3355,1996,
3355,1997,
3356,1998,9.42
3356,1999,8.77
3356,2000,7.61
3356,2001,7.03
3356,2002,7.16
3356,2003,7.6
3356,2004,8.14
3356,2005,9.37
3356,2006,8.21
3356,2007,6.88
3356,2008,5.13
3356,2009,5.5
3356,2010,5.5
3356,2011,4.42
3356,2012,4.24
3356,2013,4.5
3356,2014,4.55
3356,2015,4.11
3356,2016,3.84
3356,2017,3.76
3356,2018,3.39
3356,2019,3.34
3356,2020,3.79
3356,1995,
3356,1996,
3356,1997,
3357,1998,7.82
3357,1999,7.43
3357,2000,6.54
3357,2001,6.54
3357,2002,6.8
3357,2003,7.32
3357,2004,7.6
3357,2005,8.8
3357,2006,8.09
3357,2007,6.9
3357,2008,5.39
3357,2009,5.2
3357,2010,4.97
3357,2011,4.74
3357,2012,4.4
3357,2013,4.5
3357,2014,4.42
3357,2015,4.36
3357,2016,4.37
3357,2017,4.33
3357,2018,3.99
3357,2019,3.57
3357,2020,3.97
3357,1995,
3357,1996,
3357,1997,
3358,1998,9.09
3358,1999,8.48
3358,2000,7.72
3358,2001,7.64
3358,2002,7.94
3358,2003,8.49
3358,2004,8.72
3358,2005,11.15
3358,2006,10.55
3358,2007,9.75
3358,2008,8.18
3358,2009,8.18
3358,2010,7.7
3358,2011,7.19
3358,2012,6.83
3358,2013,6.8
3358,2014,6.55
3358,2015,6.11
3358,2016,6.13
3358,2017,6.06
3358,2018,5.52
3358,2019,5.28
3358,2020,6.05
3358,1995,
3358,1996,
3358,1997,
3359,1998,8.54
3359,1999,7.7
3359,2000,6.97
3359,2001,6.62
3359,2002,6.93
3359,2003,7.5
3359,2004,7.83
3359,2005,10.49
3359,2006,9.51
3359,2007,8.38
3359,2008,7.21
3359,2009,7.27
3359,2010,7.08
3359,2011,6.46
3359,2012,6.36
3359,2013,6.1
3359,2014,5.96
3359,2015,5.79
3359,2016,5.78
3359,2017,5.57
3359,2018,5.21
3359,2019,5.05
3359,2020,5.85
3359,1995,
3359,1996,
3359,1997,
3360,1998,10.96
3360,1999,10.22
3360,2000,9.66
3360,2001,9.66
3360,2002,9.84
3360,2003,10.86
3360,2004,10.64
3360,2005,12.39
3360,2006,11.32
3360,2007,9.96
3360,2008,8.56
3360,2009,8.21
3360,2010,8.08
3360,2011,7.56
3360,2012,7.25
3360,2013,7.1
3360,2014,6.87
3360,2015,6.34
3360,2016,6.07
3360,2017,5.81
3360,2018,5.35
3360,2019,5
3360,2020,5.47
3360,1995,
3360,1996,
3360,1997,
3361,1998,8.29
3361,1999,7.83
3361,2000,6.31
3361,2001,5.7
3361,2002,5.97
3361,2003,6.62
3361,2004,6.71
3361,2005,8.62
3361,2006,8.21
3361,2007,6.89
3361,2008,6.06
3361,2009,6.37
3361,2010,6.3
3361,2011,5.5
3361,2012,5.65
3361,2013,5.6
3361,2014,5.41
3361,2015,5.24
3361,2016,5.1
3361,2017,4.81
3361,2018,4.25
3361,2019,3.95
3361,2020,4.06
3361,1995,
3361,1996,
3361,1997,
3401,1998,14.21
3401,1999,13.64
3401,2000,12.32
3401,2001,12.17
3401,2002,12.64
3401,2003,13.47
3401,2004,13.23
3401,2005,17.72
3401,2006,15.31
3401,2007,12.01
3401,2008,10.19
3401,2009,10.71
3401,2010,10.54
3401,2011,10.23
3401,2012,10.91
3401,2013,10.7
3401,2014,10.75
3401,2015,10.81
3401,2016,10.56
3401,2017,10.25
3401,2018,9.21
3401,2019,9.37
3401,2020,10.46
3401,1995,
3401,1996,
3401,1997,
3402,1998,14.88
3402,1999,13.62
3402,2000,13.22
3402,2001,11.81
3402,2002,12.19
3402,2003,12.84
3402,2004,12.96
3402,2005,14.43
3402,2006,15.67
3402,2007,13.05
3402,2008,11.03
3402,2009,10.41
3402,2010,10.35
3402,2011,9.87
3402,2012,8.52
3402,2013,9
3402,2014,8.87
3402,2015,8.05
3402,2016,8.7
3402,2017,8.66
3402,2018,8.11
3402,2019,8.15
3402,2020,8.97
3402,1995,
3402,1996,
3402,1997,
3403,1998,12.93
3403,1999,12.51
3403,2000,11.16
3403,2001,10.55
3403,2002,10.73
3403,2003,11.03
3403,2004,11.27
3403,2005,14.13
3403,2006,12.53
3403,2007,11.07
3403,2008,9.71
3403,2009,9.4
3403,2010,8.97
3403,2011,8.72
3403,2012,8.37
3403,2013,8.2
3403,2014,8.39
3403,2015,7.97
3403,2016,7.5
3403,2017,7.35
3403,2018,6.55
3403,2019,6.14
3403,2020,7
3403,1995,
3403,1996,
3403,1997,
3404,1998,11.66
3404,1999,11.11
3404,2000,9.78
3404,2001,9.36
3404,2002,9.85
3404,2003,10.18
3404,2004,10.28
3404,2005,12.93
3404,2006,10.92
3404,2007,9.26
3404,2008,8.09
3404,2009,9.32
3404,2010,9.46
3404,2011,8.32
3404,2012,7.82
3404,2013,7.8
3404,2014,8.08
3404,2015,7.98
3404,2016,7.86
3404,2017,7.55
3404,2018,7.01
3404,2019,6.6
3404,2020,7.46
3404,1995,
3404,1996,
3404,1997,
3405,1998,18.21
3405,1999,16.48
3405,2000,14.14
3405,2001,12.62
3405,2002,13.02
3405,2003,13.65
3405,2004,13.73
3405,2005,18.45
3405,2006,15.24
3405,2007,13.36
3405,2008,12.11
3405,2009,12.7
3405,2010,13.2
3405,2011,12.76
3405,2012,12.29
3405,2013,12.3
3405,2014,12.31
3405,2015,12.28
3405,2016,11.87
3405,2017,11.35
3405,2018,10.66
3405,2019,10.33
3405,2020,11.76
3405,1995,
3405,1996,
3405,1997,
3451,1998,9.21
3451,1999,8.74
3451,2000,7.97
3451,2001,7.99
3451,2002,7.76
3451,2003,7.99
3451,2004,7.99
3451,2005,8.48
3451,2006,7.67
3451,2007,7.26
3451,2008,6.21
3451,2009,5.72
3451,2010,5.38
3451,2011,4.92
3451,2012,4.59
3451,2013,4.5
3451,2014,4.62
3451,2015,4.26
3451,2016,4.35
3451,2017,4.27
3451,2018,3.8
3451,2019,3.62
3451,2020,4.12
3451,1995,
3451,1996,
3451,1997,
3452,1998,12.51
3452,1999,11.57
3452,2000,11.63
3452,2001,11.23
3452,2002,10.87
3452,2003,11.53
3452,2004,11.84
3452,2005,12.82
3452,2006,12.41
3452,2007,10.76
3452,2008,9.16
3452,2009,8.85
3452,2010,8.17
3452,2011,7.81
