county,year,gdp_pc_ardeco
8225,2004,21216.41
8225,2005,21437
8225,2006,22393.95
8225,2007,24057.4
8225,2008,24528.93
8225,2009,23408.74
8225,2010,25267.46
8225,2011,26702.23
8225,2012,27737.58
8225,2013,28825.5
8225,2014,29089.75
8225,2015,29787.76
8225,2016,30102.86
8225,2017,31422.1
8225,2018,30891.75
8225,2019,31832.15
8225,2020,31132.27
8225,2021,32817.18
8225,2022,34983.08
8225,2023,36888.31
8225,2024,38206.8
8226,1980,7254.91
8226,1981,7569.77
8226,1982,8332.12
8226,1983,9260.73
8226,1984,9922.72
8226,1985,10584.92
8226,1986,11838.31
8226,1987,12465.21
8226,1988,13387.8
8226,1989,14182.32
8226,1990,15805.5
8226,1991,15566.92
8226,1992,17658.71
8226,1993,18533.61
8226,1994,20177.63
8226,1995,21908.4
8226,1996,22193.25
8226,1997,21083.5
8226,1998,21253.19
8226,1999,22250.8
8226,2000,22656.41
8226,2001,24302.89
8226,2002,24673.68
8226,2003,24009.27
8226,2004,24259.52
8226,2005,25165.82
8226,2006,26510.05
8226,2007,28206.9
8226,2008,29056.87
8226,2009,28027.31
8226,2010,29088.19
8226,2011,30842.06
8226,2012,29734.44
8226,2013,30464.9
8226,2014,31301.52
8226,2015,32154.63
8226,2016,32743.69
8226,2017,34040.23
8226,2018,34869.31
8226,2019,38253.29
8226,2020,37321
8226,2021,39340.85
8226,2022,41937.21
8226,2023,44221.4
8226,2024,45801.78
8231,1980,13053.75
8231,1981,13543.27
8231,1982,14836.7
8231,1983,16204.37
8231,1984,17140.03
8231,1985,18006.42
8231,1986,19732.7
8231,1987,19859.28
8231,1988,20718.64
8231,1989,21498.58
8231,1990,23424.99
8231,1991,22553.68
8231,1992,25035.21
8231,1993,25775.71
8231,1994,27534.43
8231,1995,29101.25
8231,1996,28687.69
8231,1997,28222.48
8231,1998,28304.6
8231,1999,29080.44
8231,2000,30790.05
8231,2001,31052.76
8231,2002,30594.63
8231,2003,30496.92
8231,2004,31578.17
8231,2005,32545.07
8231,2006,34153.95
8231,2007,35376.5
8231,2008,35888.54
8231,2009,34189.59
8231,2010,38158.76
8231,2011,39150.95
8231,2012,41317.39
8231,2013,43106.24
8231,2014,41323.32
8231,2015,40501.86
8231,2016,39800.36
8231,2017,40220.92
8231,2018,40780.26
8231,2019,41460.04
8231,2020,42339
8231,2021,44630.39
8231,2022,47575.79
8231,2023,50167.05
8231,2024,51960.02
8235,1980,8357.61
8235,1981,8570.73
8235,1982,9268.43
8235,1983,10142.58
8235,1984,10673.49
8235,1985,11169.59
8235,1986,12199.87
8235,1987,12781.06
8235,1988,13341.32
8235,1989,13650.59
8235,1990,14632.9
8235,1991,13990.45
8235,1992,15465.86
8235,1993,15911.96
8235,1994,17019.33
8235,1995,18569.67
8235,1996,17959.53
8235,1997,17460.33
8235,1998,17814.7
8235,1999,18954.7
8235,2000,19098.28
8235,2001,19073.82
8235,2002,19201.46
8235,2003,19520.92
8235,2004,19954.56
8235,2005,20651.56
8235,2006,21610.72
8235,2007,22338.26
8235,2008,22790.19
8235,2009,21340.71
8235,2010,22944.41
8235,2011,24766.59
8235,2012,25889.89
8235,2013,25603.15
8235,2014,26475.51
8235,2015,26763.34
8235,2016,27482.2
8235,2017,28643.05
8235,2018,29062.76
8235,2019,29884.63
8235,2020,29130.64
8235,2021,30707.28
8235,2022,32733.9
8235,2023,34516.59
8235,2024,35750.15
8236,1980,7094.3
8236,1981,7391.38
8236,1982,8078.58
8236,1983,8931.27
8236,1984,9508.46
8236,1985,10063.35
8236,1986,11168.96
8236,1987,11620.1
8236,1988,12358.92
8236,1989,12969.5
8236,1990,14218.89
8236,1991,13825.14
8236,1992,15495.8
8236,1993,16111.54
8236,1994,17374.11
8236,1995,18877.39
8236,1996,19168.05
8236,1997,18779.29
8236,1998,19681.81
8236,1999,20440.04
8236,2000,20078.65
8236,2001,20219.07
8236,2002,20552.55
8236,2003,20787.5
8236,2004,21597.52
8236,2005,22469.47
8236,2006,23130.79
8236,2007,23701.59
8236,2008,23577.08
8236,2009,21123.06
8236,2010,23272.45
8236,2011,25527.55
8236,2012,25688.97
8236,2013,25710.68
8236,2014,27201.01
8236,2015,28389.43
8236,2016,28960.69
8236,2017,29831.91
8236,2018,30825.87
8236,2019,31463.74
8236,2020,29989.83
8236,2021,31612.86
8236,2022,33699.28
8236,2023,35534.73
8236,2024,36804.73
8237,1980,8976.06
8237,1981,9322.59
8237,1982,10172.43
8237,1983,11155.85
8237,1984,11758.05
8237,1985,12366.4
8237,1986,13640.67
8237,1987,14060.18
8237,1988,14909.97
8237,1989,15464.53
8237,1990,16784.82
8237,1991,16295.82
8237,1992,18172.16
8237,1993,18428.46
8237,1994,19480.02
8237,1995,22159.62
8237,1996,22782.91
8237,1997,22681.11
8237,1998,23734.47
8237,1999,24143.65
8237,2000,24999.24
8237,2001,24527.66
8237,2002,23964.04
8237,2003,24101.97
8237,2004,24274.7
8237,2005,25282.82
8237,2006,27981.2
8237,2007,29909.95
8237,2008,30911.22
8237,2009,26888.21
8237,2010,30990.42
8237,2011,33079.1
8237,2012,32850.44
8237,2013,33061.61
8237,2014,34960.86
8237,2015,35950.9
8237,2016,37107.08
8237,2017,38787.48
8237,2018,39906.63
8237,2019,41172.07
8237,2020,39366.78
8237,2021,41497.2
8237,2022,44236.14
8237,2023,46645.31
8237,2024,48312.26
8311,1980,13169.08
8311,1981,13935.89
8311,1982,15225.36
8311,1983,16715.54
8311,1984,17701.94
8311,1985,18526.65
8311,1986,19769.05
8311,1987,21914.36
8311,1988,22771.4
8311,1989,24335.61
8311,1990,26261.06
8311,1991,26131.8
8311,1992,28670.99
8311,1993,30830.56
8311,1994,32619.84
8311,1995,34116.95
8311,1996,34108.22
8311,1997,32397.58
8311,1998,36114.81
8311,1999,35061.36
8311,2000,36782.02
8311,2001,37523.9
8311,2002,40444.84
8311,2003,38739.8
8311,2004,38729.46
8311,2005,39173.9
8311,2006,40137.04
8311,2007,41759.07
8311,2008,42327.99
8311,2009,42329.34
8311,2010,43808.1
8311,2011,45034.24
8311,2012,44912.65
8311,2013,45852.03
8311,2014,47601.45
8311,2015,47818.46
8311,2016,48586.28
8311,2017,50262.19
8311,2018,52230.97
8311,2019,55409.67
8311,2020,55965.08
8311,2021,59049.62
8311,2022,62946.71
8311,2023,66375.22
8311,2024,68747.42
8315,1980,7684.43
8315,1981,8101.58
8315,1982,8816.53
8315,1983,9621.14
8315,1984,10113.14
8315,1985,10590.91
8315,1986,11266.59
8315,1987,12346.56
8315,1988,12829.75
8315,1989,13684.02
8315,1990,14595.58
8315,1991,14379.82
8315,1992,15656.3
8315,1993,16687.65
8315,1994,17570.43
8315,1995,19151.22
8315,1996,18894.33
8315,1997,18040.88
8315,1998,18512.78
8315,1999,18898.13
8315,2000,19425.93
8315,2001,20213.53
8315,2002,19850.68
8315,2003,20049.81
8315,2004,20069.87
8315,2005,19993.38
8315,2006,21195.32
8315,2007,22003.14
8315,2008,22559.27
8315,2009,21558.45
8315,2010,23248.37
8315,2011,24842.71
8315,2012,25458.66
8315,2013,26357.29
8315,2014,27720.05
8315,2015,28074.53
8315,2016,28762.82
8315,2017,29131.17
8315,2018,29806.05
8315,2019,31152.39
8315,2020,30479.32
8315,2021,32159.17
8315,2022,34281.53
8315,2023,36148.84
8315,2024,37440.72
8316,1980,7098.68
8316,1981,7539.46
8316,1982,8256.64
8316,1983,9043.02
8316,1984,9558.37
8316,1985,10066.16
8316,1986,10806.05
8316,1987,11767.91
8316,1988,12298.04
8316,1989,13185.12
8316,1990,14209.36
8316,1991,14117.28
8316,1992,15430.64
8316,1993,16514.83
8316,1994,17448.56
8316,1995,18531.82
8316,1996,18522.62
8316,1997,18108.41
8316,1998,18387.33
8316,1999,19842.87
8316,2000,20362.51
8316,2001,20236.36
8316,2002,19926.03
8316,2003,19666.32
8316,2004,20317.53
8316,2005,20378.42
8316,2006,21379.05
8316,2007,22291.3
8316,2008,23624.32
8316,2009,21978.12
8316,2010,23863.66
8316,2011,25508.94
8316,2012,25913.09
8316,2013,26849.74
8316,2014,28396.82
8316,2015,29988.19
8316,2016,29824.25
8316,2017,31449.08
8316,2018,32677.31
8316,2019,33801.15
8316,2020,33807.31
8316,2021,35670.55
8316,2022,38024.73
8316,2023,40095.85
8316,2024,41528.8
8317,1980,9907.54
8317,1981,10588.15
8317,1982,11644.47
8317,1983,12815.13
8317,1984,13629.6
8317,1985,14427.84
8317,1986,15527.16
8317,1987,16539.18
8317,1988,17337.53
