county,election_year,afd_local_vote_share,afd_local_ran,total_local_munis_cty,afd_local_ran_prop,total_local_eligible_voters_cty
12072,2013,0.0688531159376426,5,80,0.0931589377230552,641377
12072,2017,0.140362496909282,10,16,0.867768247266504,142583
12073,2013,0.0460548405148293,1,163,0.0245014890022814,574210
12073,2017,0.11861468393322,6,33,0.575023254475887,104281
13003,2013,0.0442992621731546,1,5,0.201171893115186,862536
13003,2017,0.0964760037507459,1,1,1,173650
13004,2013,0.0586691039203485,1,5,0.190816316711253,415672
13004,2017,0.151118841103482,1,1,1,78449
13071,2013,,0,740,0,1216487
13071,2017,0.14452029361849,23,148,0.651596237134586,221427
13072,2013,,0,560,0,900898
13072,2017,0.106399369155269,10,112,0.256833994658108,181958
13073,2013,,0,505,0,1019154
13073,2017,0.121620703809263,11,101,0.522758699562293,192366
13074,2013,,0,415,0,661908
13074,2017,0.109882444406615,5,83,0.320958600388949,132151
13075,2013,,0,690,0,1076750
13075,2017,0.121928736770751,16,138,0.478099539408892,201046
13076,2013,,0,710,0,937829
13076,2017,0.139039208222694,4,142,0.186600550964187,181500
14511,2013,0.0564286442845598,1,5,0.188269116642592,1071684
14511,2017,0.178986991260204,1,1,1,196515
14521,2013,0.101938123794567,3,295,0.0071621082508291,1641835
14521,2017,0.15811194479716,27,59,0.686746008749302,282994
14522,2013,0.0798489139293486,2,265,0.0300230334148591,1432267
14522,2017,0.200532648074305,26,53,0.668160585036861,253249
14523,2013,0.0659638868594093,1,185,0.00630368244158545,1092536
14523,2017,0.182418012425222,11,37,0.605042984743296,190998
14524,2013,0.0837878406247736,2,165,0.0649071657722857,1510542
14524,2017,0.179317473048364,18,33,0.826435272186625,265002
14612,2013,0.0698127031411118,1,5,0.21517741714778,2024297
14612,2017,0.170969548134768,1,1,1,436179
14625,2013,,0,285,0,1405584
14625,2017,0.21886465308032,29,57,0.792171340025386,249749
14626,2013,,0,265,0,1243153
14626,2017,0.246464963948659,23,53,0.750495318479243,213499
14627,2013,,0,140,0,1077457
14627,2017,0.212788546155965,21,28,0.885694780797481,200682
14628,2013,0.0918405271980917,2,180,0.0410276785028233,1067182
14628,2017,0.227621398050975,20,36,0.875821547523745,202362
14713,2013,0.063804751335162,1,5,0.214035670823919,2062801.01957033
14713,2017,0.149193266745827,1,1,1,466442
14729,2013,0.112628703509141,1,150,0.0061964432327383,1129518.94128901
14729,2017,0.169917901577741,22,30,0.844498165899736,214274
14730,2013,,0,150,0,889399.039140662
14730,2017,0.187158523091605,12,30,0.587659647070294,164112
15001,2013,0.0594120048999592,1,5,0.177786301691155,409306
15001,2017,0.167545692150599,1,1,1,68645
15002,2013,0.0457550551814235,1,5,0.188177455407968,1032079
15002,2017,0.139872669741908,1,1,1,191030
15003,2013,0.0481536094663751,1,5,0.196592759314242,1002336
15003,2017,0.143811606795098,1,1,1,193826
15081,2013,0.0359593967040644,1,65,0.051068354868335,393081
15081,2017,0.130125617865109,4,13,0.752575299518531,71448
